name,pos,team_code,credits,pdk,eff_per_credit,eff_per_game,gp,min_per_game
Walter Tavares,C,RMB,0.0,647.9,0.0,16.197499999999998,40.0,23.275
Vincent Poirier,C,EFS,0.0,550.8,0.0,14.123076923076923,39.0,21.358974358974358
Tyrique Jones,C,PAR,0.0,541.0,0.0,16.90625,32.0,22.625
Donta Hall,C,BKN,0.0,510.1,0.0,15.00294117647059,34.0,21.5
Devin Booker,C,BAY,0.0,478.2,0.0,17.07857142857143,28.0,26.25
Nikola Milutinov,C,OLY,13.2,449.7,34.06818181818182,15.506896551724138,29.0,19.862068965517242
Dan Oturu,C,EFS,0.0,447.8,0.0,11.784210526315789,38.0,16.57894736842105
Neal Sako,C,ASV,0.0,429.1,0.0,13.003030303030304,33.0,21.96969696969697
Mathias Lessort,C,PAO,15.3,400.9,26.202614379084963,21.099999999999998,19.0,25.473684210526315
Willy Hernangomez,C,BAR,0.0,387.6,0.0,11.4,34.0,15.823529411764707
