name,pos,team_code,credits,pdk,eff_per_credit,eff_per_game,gp,min_per_game
Sasha Vezenkov,F,OLY,21.2,967.1,45.61792452830189,25.45,38.0,30.394736842105264
Nigel Hayes-davis,F,FBB,17.2,768.1,44.656976744186046,19.694871794871794,39.0,31.333333333333332
Zach Leday,F,EA7,0.0,702.7,0.0,20.66764705882353,34.0,27.647058823529413
Nikola Mirotic,F,EA7,0.0,697.2,0.0,23.240000000000002,30.0,27.5
Juancho Hernangomez,F,PAO,14.9,651.8,43.744966442953015,16.294999999999998,40.0,27.325
Chima Moneke,F,BKN,0.0,641.2,0.0,19.430303030303033,33.0,28.21212121212121
Mario Hezonja,F,RMB,0.0,576.1,0.0,15.160526315789474,38.0,27.05263157894737
Jabari Parker,F,BAR,0.0,515.3,0.0,13.212820512820512,39.0,27.205128205128204
Tornike Shengelia,F,VIR,0.0,497.3,0.0,17.760714285714286,28.0,27.464285714285715
Filip Petrusev,F,CZV,0.0,495.4,0.0,15.48125,32.0,20.15625
