name,pos,team_code,credits,pdk,eff_per_credit,eff_per_game,gp,min_per_game
Tj Shorts,G,PBB,0.0,891.2,0.0,24.08648648648649,37.0,27.324324324324323
Kendrick Nunn,G,PAO,17.4,805.5,46.293103448275865,20.1375,40.0,30.825
Mike James,G,ASM,17.4,759.3,43.63793103448276,18.51951219512195,41.0,29.341463414634145
Facundo Campazzo,G,RMB,0.0,729.0,0.0,18.692307692307693,39.0,25.743589743589745
Theo Maledon,G,ASV,0.0,713.3,0.0,21.615151515151513,33.0,27.606060606060606
Kevin Punter,G,BAR,0.0,645.3,0.0,17.44054054054054,37.0,27.08108108108108
Carsen Edwards,G,BAY,0.0,627.1,0.0,17.917142857142856,35.0,28.82857142857143
Carlik Jones,G,PAR,0.0,622.2,0.0,18.3,34.0,26.970588235294116
Elijah Bryant,G,EFS,0.0,582.3,0.0,15.323684210526315,38.0,27.026315789473685
Sylvain Francisco,G,ZAL,0.0,555.1,0.0,16.326470588235296,34.0,25.5
