name,pos,team_code,credits,pdk,eff_per_credit,eff_per_game,gp,min_per_game,category
Tj Shorts,G,PBB,0.0,891.2,0.0,24.08648648648649,37.0,27.324324324324323,Best G by pdk
Kendrick Nunn,G,PAO,17.4,805.5,46.293103448275865,20.1375,40.0,30.825,Best G by pdk
Mike James,G,ASM,17.4,759.3,43.63793103448276,18.51951219512195,41.0,29.341463414634145,Best G by pdk
Facundo Campazzo,G,RMB,0.0,729.0,0.0,18.692307692307693,39.0,25.743589743589745,Best G by pdk
Theo Maledon,G,ASV,0.0,713.3,0.0,21.615151515151513,33.0,27.606060606060606,Best G by pdk
Kevin Punter,G,BAR,0.0,645.3,0.0,17.44054054054054,37.0,27.08108108108108,Best G by pdk
Carsen Edwards,G,BAY,0.0,627.1,0.0,17.917142857142856,35.0,28.82857142857143,Best G by pdk
Carlik Jones,G,PAR,0.0,622.2,0.0,18.3,34.0,26.970588235294116,Best G by pdk
Elijah Bryant,G,EFS,0.0,582.3,0.0,15.323684210526315,38.0,27.026315789473685,Best G by pdk
Sylvain Francisco,G,ZAL,0.0,555.1,0.0,16.326470588235296,34.0,25.5,Best G by pdk
Sasha Vezenkov,F,OLY,21.2,967.1,45.61792452830189,25.45,38.0,30.394736842105264,Best F by pdk
Nigel Hayes-davis,F,FBB,17.2,768.1,44.656976744186046,19.694871794871794,39.0,31.333333333333332,Best F by pdk
Zach Leday,F,EA7,0.0,702.7,0.0,20.66764705882353,34.0,27.647058823529413,Best F by pdk
Nikola Mirotic,F,EA7,0.0,697.2,0.0,23.240000000000002,30.0,27.5,Best F by pdk
Juancho Hernangomez,F,PAO,14.9,651.8,43.744966442953015,16.294999999999998,40.0,27.325,Best F by pdk
Chima Moneke,F,BKN,0.0,641.2,0.0,19.430303030303033,33.0,28.21212121212121,Best F by pdk
Mario Hezonja,F,RMB,0.0,576.1,0.0,15.160526315789474,38.0,27.05263157894737,Best F by pdk
Jabari Parker,F,BAR,0.0,515.3,0.0,13.212820512820512,39.0,27.205128205128204,Best F by pdk
Tornike Shengelia,F,VIR,0.0,497.3,0.0,17.760714285714286,28.0,27.464285714285715,Best F by pdk
Filip Petrusev,F,CZV,0.0,495.4,0.0,15.48125,32.0,20.15625,Best F by pdk
Walter Tavares,C,RMB,0.0,647.9,0.0,16.197499999999998,40.0,23.275,Best C by pdk
Vincent Poirier,C,EFS,0.0,550.8,0.0,14.123076923076923,39.0,21.358974358974358,Best C by pdk
Tyrique Jones,C,PAR,0.0,541.0,0.0,16.90625,32.0,22.625,Best C by pdk
Donta Hall,C,BKN,0.0,510.1,0.0,15.00294117647059,34.0,21.5,Best C by pdk
Devin Booker,C,BAY,0.0,478.2,0.0,17.07857142857143,28.0,26.25,Best C by pdk
Nikola Milutinov,C,OLY,13.2,449.7,34.06818181818182,15.506896551724138,29.0,19.862068965517242,Best C by pdk
Dan Oturu,C,EFS,0.0,447.8,0.0,11.784210526315789,38.0,16.57894736842105,Best C by pdk
Neal Sako,C,ASV,0.0,429.1,0.0,13.003030303030304,33.0,21.96969696969697,Best C by pdk
Mathias Lessort,C,PAO,15.3,400.9,26.202614379084963,21.099999999999998,19.0,25.473684210526315,Best C by pdk
Willy Hernangomez,C,BAR,0.0,387.6,0.0,11.4,34.0,15.823529411764707,Best C by pdk
