name,pos,team_code,credits,pdk,eff_per_credit,eff_per_game,gp,min_per_game
Lorenzo Brown,G,PAO,7.5,309.4,41.25333333333333,8.142105263157895,38.0,14.921052631578947
Shaquielle Mckissic,G,OLY,5.8,300.0,51.724137931034484,7.894736842105263,38.0,16.42105263157895
Thomas Walkup,G,OLY,6.7,201.8,30.11940298507463,7.761538461538462,26.0,20.23076923076923
Luca Vildoza,G,OLY,5.9,188.1,31.881355932203387,5.7,33.0,17.666666666666668
Arturs Zagars,G,FBB,6.0,136.8,22.8,6.218181818181819,22.0,14.909090909090908
Terry Tarpey,G,ASM,4.0,98.4,24.6,4.278260869565218,23.0,11.565217391304348
Giannoulis Larentzakis,G,OLY,4.0,67.2,16.8,3.9529411764705884,17.0,7.0
Nick Calathes,G,ASM,6.3,62.7,9.952380952380953,4.823076923076924,13.0,17.53846153846154
Tyler Dorsey,G,OLY,4.0,43.1,10.775,2.1550000000000002,20.0,10.1
Marius Grigonis,G,PAO,4.0,11.2,2.8,2.8,4.0,11.5
