name,pos,team_code,credits,pdk,eff_per_credit,eff_per_game,gp,min_per_game,category
Lorenzo Brown,G,PAO,7.5,309.4,41.25333333333333,8.142105263157895,38.0,14.921052631578947,Gems G
Shaquielle Mckissic,G,OLY,5.8,300.0,51.724137931034484,7.894736842105263,38.0,16.42105263157895,Gems G
Thomas Walkup,G,OLY,6.7,201.8,30.11940298507463,7.761538461538462,26.0,20.23076923076923,Gems G
Luca Vildoza,G,OLY,5.9,188.1,31.881355932203387,5.7,33.0,17.666666666666668,Gems G
Arturs Zagars,G,FBB,6.0,136.8,22.8,6.218181818181819,22.0,14.909090909090908,Gems G
Terry Tarpey,G,ASM,4.0,98.4,24.6,4.278260869565218,23.0,11.565217391304348,Gems G
Giannoulis Larentzakis,G,OLY,4.0,67.2,16.8,3.9529411764705884,17.0,7.0,Gems G
Nick Calathes,G,ASM,6.3,62.7,9.952380952380953,4.823076923076924,13.0,17.53846153846154,Gems G
Tyler Dorsey,G,OLY,4.0,43.1,10.775,2.1550000000000002,20.0,10.1,Gems G
Marius Grigonis,G,PAO,4.0,11.2,2.8,2.8,4.0,11.5,Gems G
Bonzie Colson,F,FBB,7.6,285.6,37.578947368421055,7.323076923076924,39.0,18.46153846153846,Gems F
Kostas Papanikolaou,F,OLY,6.9,256.8,37.21739130434783,6.757894736842106,38.0,18.763157894736842,Gems F
Konstantinos Mitoglou,F,PAO,6.9,239.5,34.71014492753623,6.141025641025641,39.0,16.153846153846153,Gems F
Dyshawn Pierre,F,FBB,5.7,130.8,22.947368421052634,5.232,25.0,11.56,Gems F
Vitto Brown,F,ASM,4.2,111.9,26.642857142857142,4.865217391304348,23.0,13.695652173913043,Gems F
Petr Cornelie,F,ASM,4.0,70.2,17.55,4.129411764705883,17.0,9.882352941176471,Gems F
Ioannis Papapetrou,F,PAO,4.0,66.4,16.6,2.553846153846154,26.0,10.576923076923077,Gems F
Panagiotis Kalaitzakis,F,PAO,4.0,46.2,11.55,1.44375,32.0,7.34375,Gems F
Metecan Birsen,F,FBB,4.0,5.7,1.425,2.85,2.0,3.5,Gems F
Wenyen Gabriel,C,PAO,7.8,239.7,30.73076923076923,7.490625,32.0,16.53125,Gems C
Donatas Motiejunas,C,ASM,6.7,233.5,34.850746268656714,8.051724137931034,29.0,14.724137931034482,Gems C
Khem Birch,C,FBB,6.3,200.5,31.825396825396826,5.569444444444445,36.0,13.666666666666666,Gems C
Sertac Sanli,C,FBB,5.0,188.6,37.72,5.715151515151515,33.0,13.06060606060606,Gems C
Moses Wright,C,OLY,6.3,122.5,19.444444444444446,6.805555555555555,18.0,12.833333333333334,Gems C
Jilson Bango,C,FBB,6.7,33.0,4.925373134328358,3.3,10.0,7.0,Gems C
Alexandros Samodurov,C,PAO,4.0,17.0,4.25,2.8333333333333335,6.0,4.333333333333333,Gems C
Tibor Pleiss,C,PAO,5.5,-1.2,-0.21818181818181817,-0.15,8.0,4.75,Gems C
