name,pos,team_code,credits,pdk,eff_per_credit,eff_per_game,gp,min_per_game
Shaquielle Mckissic,G,OLY,5.8,300.0,51.724137931034484,7.894736842105263,38.0,16.42105263157895
Kendrick Nunn,G,PAO,17.4,805.5,46.293103448275865,20.1375,40.0,30.825
Mike James,G,ASM,17.4,759.3,43.63793103448276,18.51951219512195,41.0,29.341463414634145
Jerian Grant,G,PAO,10.7,466.8,43.62616822429907,11.385365853658536,41.0,26.853658536585368
Sasha Vezenkov,F,OLY,21.2,967.1,45.61792452830189,25.45,38.0,30.394736842105264
Nigel Hayes-davis,F,FBB,17.2,768.1,44.656976744186046,19.694871794871794,39.0,31.333333333333332
Juancho Hernangomez,F,PAO,14.9,651.8,43.744966442953015,16.294999999999998,40.0,27.325
Jaron Blossomgame,F,ASM,9.2,387.9,42.16304347826087,9.6975,40.0,24.075
Sertac Sanli,C,FBB,5.0,188.6,37.72,5.715151515151515,33.0,13.06060606060606
Mam Jaiteh,C,ASM,8.2,297.8,36.31707317073171,9.606451612903227,31.0,14.64516129032258
Moustapha Fall,C,OLY,8.8,315.6,35.86363636363637,9.017142857142858,35.0,17.37142857142857
Donatas Motiejunas,C,ASM,6.7,233.5,34.850746268656714,8.051724137931034,29.0,14.724137931034482
