name,pos,team_code,credits,pdk,eff_per_credit,eff_per_game,gp,min_per_game
Sertac Sanli,C,FBB,5.0,188.6,37.72,5.715151515151515,33.0,13.06060606060606
Mam Jaiteh,C,ASM,8.2,297.8,36.31707317073171,9.606451612903227,31.0,14.64516129032258
Moustapha Fall,C,OLY,8.8,315.6,35.86363636363637,9.017142857142858,35.0,17.37142857142857
Donatas Motiejunas,C,ASM,6.7,233.5,34.850746268656714,8.051724137931034,29.0,14.724137931034482
Nikola Milutinov,C,OLY,13.2,449.7,34.06818181818182,15.506896551724138,29.0,19.862068965517242
Omer Yurtseven,C,PAO,9.1,309.5,34.010989010989015,9.983870967741936,31.0,14.580645161290322
Georgios Papagiannis,C,ASM,8.5,273.8,32.21176470588235,9.441379310344828,29.0,16.517241379310345
Khem Birch,C,FBB,6.3,200.5,31.825396825396826,5.569444444444445,36.0,13.666666666666666
Wenyen Gabriel,C,PAO,7.8,239.7,30.73076923076923,7.490625,32.0,16.53125
Mathias Lessort,C,PAO,15.3,400.9,26.202614379084963,21.099999999999998,19.0,25.473684210526315
