name,pos,team_code,credits,pdk,eff_per_credit,eff_per_game,gp,min_per_game
Sasha Vezenkov,F,OLY,21.2,967.1,45.61792452830189,25.45,38.0,30.394736842105264
Nigel Hayes-davis,F,FBB,17.2,768.1,44.656976744186046,19.694871794871794,39.0,31.333333333333332
Juancho Hernangomez,F,PAO,14.9,651.8,43.744966442953015,16.294999999999998,40.0,27.325
Jaron Blossomgame,F,ASM,9.2,387.9,42.16304347826087,9.6975,40.0,24.075
Alec Peters,F,OLY,9.4,387.2,41.191489361702125,9.68,40.0,16.425
Alpha Diallo,F,ASM,11.6,455.7,39.28448275862069,13.02,35.0,26.571428571428573
Tarik Biberovic,F,FBB,8.8,338.8,38.5,9.156756756756756,37.0,22.486486486486488
Bonzie Colson,F,FBB,7.6,285.6,37.578947368421055,7.323076923076924,39.0,18.46153846153846
Kostas Papanikolaou,F,OLY,6.9,256.8,37.21739130434783,6.757894736842106,38.0,18.763157894736842
Konstantinos Mitoglou,F,PAO,6.9,239.5,34.71014492753623,6.141025641025641,39.0,16.153846153846153
