name,pos,team_code,credits,pdk,eff_per_credit,eff_per_game,gp,min_per_game
Shaquielle Mckissic,G,OLY,5.8,300.0,51.724137931034484,7.894736842105263,38.0,16.42105263157895
Kendrick Nunn,G,PAO,17.4,805.5,46.293103448275865,20.1375,40.0,30.825
Mike James,G,ASM,17.4,759.3,43.63793103448276,18.51951219512195,41.0,29.341463414634145
Jerian Grant,G,PAO,10.7,466.8,43.62616822429907,11.385365853658536,41.0,26.853658536585368
Matthew Strazel,G,ASM,8.1,352.5,43.51851851851852,8.597560975609756,41.0,20.24390243902439
Marko Guduric,G,FBB,10.7,463.8,43.345794392523366,12.883333333333333,36.0,22.02777777777778
Kostas Sloukas,G,PAO,12.2,505.0,41.39344262295082,12.948717948717949,39.0,21.743589743589745
Lorenzo Brown,G,PAO,7.5,309.4,41.25333333333333,8.142105263157895,38.0,14.921052631578947
Elie Okobo,G,ASM,12.4,501.0,40.40322580645161,14.314285714285715,35.0,25.17142857142857
Jordan Loyd,G,ASM,8.5,335.9,39.51764705882353,9.597142857142856,35.0,21.2
