name,pos,team_code,credits,pdk,eff_per_credit,eff_per_game,gp,min_per_game,category
Shaquielle Mckissic,G,OLY,5.8,300.0,51.724137931034484,7.894736842105263,38.0,16.42105263157895,Value G
Kendrick Nunn,G,PAO,17.4,805.5,46.293103448275865,20.1375,40.0,30.825,Value G
Mike James,G,ASM,17.4,759.3,43.63793103448276,18.51951219512195,41.0,29.341463414634145,Value G
Jerian Grant,G,PAO,10.7,466.8,43.62616822429907,11.385365853658536,41.0,26.853658536585368,Value G
Matthew Strazel,G,ASM,8.1,352.5,43.51851851851852,8.597560975609756,41.0,20.24390243902439,Value G
Marko Guduric,G,FBB,10.7,463.8,43.345794392523366,12.883333333333333,36.0,22.02777777777778,Value G
Kostas Sloukas,G,PAO,12.2,505.0,41.39344262295082,12.948717948717949,39.0,21.743589743589745,Value G
Lorenzo Brown,G,PAO,7.5,309.4,41.25333333333333,8.142105263157895,38.0,14.921052631578947,Value G
Elie Okobo,G,ASM,12.4,501.0,40.40322580645161,14.314285714285715,35.0,25.17142857142857,Value G
Jordan Loyd,G,ASM,8.5,335.9,39.51764705882353,9.597142857142856,35.0,21.2,Value G
Sasha Vezenkov,F,OLY,21.2,967.1,45.61792452830189,25.45,38.0,30.394736842105264,Value F
Nigel Hayes-davis,F,FBB,17.2,768.1,44.656976744186046,19.694871794871794,39.0,31.333333333333332,Value F
Juancho Hernangomez,F,PAO,14.9,651.8,43.744966442953015,16.294999999999998,40.0,27.325,Value F
Jaron Blossomgame,F,ASM,9.2,387.9,42.16304347826087,9.6975,40.0,24.075,Value F
Alec Peters,F,OLY,9.4,387.2,41.191489361702125,9.68,40.0,16.425,Value F
Alpha Diallo,F,ASM,11.6,455.7,39.28448275862069,13.02,35.0,26.571428571428573,Value F
Tarik Biberovic,F,FBB,8.8,338.8,38.5,9.156756756756756,37.0,22.486486486486488,Value F
Bonzie Colson,F,FBB,7.6,285.6,37.578947368421055,7.323076923076924,39.0,18.46153846153846,Value F
Kostas Papanikolaou,F,OLY,6.9,256.8,37.21739130434783,6.757894736842106,38.0,18.763157894736842,Value F
Konstantinos Mitoglou,F,PAO,6.9,239.5,34.71014492753623,6.141025641025641,39.0,16.153846153846153,Value F
Sertac Sanli,C,FBB,5.0,188.6,37.72,5.715151515151515,33.0,13.06060606060606,Value C
Mam Jaiteh,C,ASM,8.2,297.8,36.31707317073171,9.606451612903227,31.0,14.64516129032258,Value C
Moustapha Fall,C,OLY,8.8,315.6,35.86363636363637,9.017142857142858,35.0,17.37142857142857,Value C
Donatas Motiejunas,C,ASM,6.7,233.5,34.850746268656714,8.051724137931034,29.0,14.724137931034482,Value C
Nikola Milutinov,C,OLY,13.2,449.7,34.06818181818182,15.506896551724138,29.0,19.862068965517242,Value C
Omer Yurtseven,C,PAO,9.1,309.5,34.010989010989015,9.983870967741936,31.0,14.580645161290322,Value C
Georgios Papagiannis,C,ASM,8.5,273.8,32.21176470588235,9.441379310344828,29.0,16.517241379310345,Value C
Khem Birch,C,FBB,6.3,200.5,31.825396825396826,5.569444444444445,36.0,13.666666666666666,Value C
Wenyen Gabriel,C,PAO,7.8,239.7,30.73076923076923,7.490625,32.0,16.53125,Value C
Mathias Lessort,C,PAO,15.3,400.9,26.202614379084963,21.099999999999998,19.0,25.473684210526315,Value C
