name,team,pos,price,min_proj,pts,reb,ast,stl,blk,tov
Matt Thomas,BER,G,0.0,24.1,258.0,43.0,32.0,9.0,1.0,38.0
Martin Hermannsson,BER,G,0.0,21.79,229.0,38.0,137.0,14.0,0.0,54.0
Elias Rapieque,BER,F,0.0,15.04,113.0,58.0,34.0,17.0,0.0,28.0
Louis Olinde,BER,F,0.0,19.04,129.0,65.0,26.0,7.0,11.0,19.0
Tim Schneider,BER,F,0.0,19.62,179.0,105.0,14.0,13.0,8.0,28.0
Jonas Mattisseck,BER,G,0.0,13.34,71.0,22.0,16.0,15.0,0.0,10.0
Malte Delow,BER,G,0.0,18.22,132.0,61.0,37.0,19.0,4.0,16.0
Yanni Wetzell,BER,F,0.0,20.86,314.0,124.0,45.0,21.0,6.0,43.0
Gabriele Procida,BER,F,0.0,20.5,253.0,58.0,21.0,19.0,9.0,31.0
Matteo Spagnolo,BER,G,0.0,20.74,259.0,54.0,101.0,13.0,1.0,58.0
Justin Bean,BER,F,0.0,19.77,76.0,62.0,13.0,9.0,5.0,9.0
Amon Doerries,BER,F,0.0,6.8,6.0,2.0,0.0,1.0,0.0,3.0
Anton Nufer,BER,G,0.0,4.4,4.0,2.0,0.0,0.0,0.0,3.0
Dorian Grosber,BER,F,0.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0
Will Mcdowell-white,BER,G,0.0,19.05,126.0,38.0,83.0,14.0,2.0,28.0
David Mccormack,BER,C,0.0,16.32,236.0,130.0,16.0,23.0,3.0,47.0
Robert Baker Ii,BER,F,0.0,14.14,43.0,19.0,2.0,3.0,2.0,1.0
Shane Larkin,EFS,G,0.0,26.21,328.0,72.0,127.0,33.0,1.0,49.0
Vincent Poirier,EFS,C,0.0,21.36,370.0,194.0,47.0,22.0,50.0,37.0
Darius Thompson,EFS,G,0.0,26.33,370.0,77.0,175.0,36.0,17.0,47.0
Rolands Smits,EFS,F,0.0,18.15,267.0,96.0,36.0,11.0,3.0,37.0
Elijah Bryant,EFS,G,0.0,27.03,526.0,161.0,119.0,44.0,9.0,85.0
Rodrigue Beaubois,EFS,G,0.0,18.88,293.0,47.0,53.0,24.0,10.0,17.0
Erkan Yilmaz,EFS,F,0.0,4.31,21.0,13.0,9.0,8.0,1.0,2.0
Ridvan Oncel,EFS,G,0.0,7.0,4.0,0.0,1.0,1.0,0.0,3.0
Derek Willis,EFS,F,0.0,11.52,85.0,65.0,10.0,10.0,7.0,13.0
Pj Dozier,EFS,G,0.0,18.44,150.0,40.0,52.0,12.0,5.0,29.0
Ercan Osmani,EFS,F,0.0,16.59,253.0,113.0,39.0,18.0,7.0,39.0
Dan Oturu,EFS,C,0.0,16.58,333.0,158.0,20.0,18.0,39.0,41.0
Dogus Ozdemiroglu,EFS,G,0.0,5.8,19.0,5.0,5.0,4.0,0.0,3.0
Stanley Johnson,EFS,F,0.0,7.82,33.0,19.0,5.0,6.0,1.0,6.0
Jordan Nwora,EFS,F,0.0,16.81,281.0,122.0,29.0,19.0,6.0,48.0
Petr Cornelie,ASM,F,4.0,9.88,49.0,35.0,11.0,6.0,1.0,6.0
Georgios Papagiannis,ASM,C,8.5,16.52,211.0,99.0,15.0,14.0,39.0,18.0
Mam Jaiteh,ASM,C,8.2,14.65,234.0,123.0,18.0,14.0,8.0,34.0
Nick Calathes,ASM,G,6.3,17.54,48.0,29.0,50.0,11.0,1.0,19.0
Mike James,ASM,G,17.4,29.34,653.0,121.0,236.0,45.0,2.0,77.0
Matthew Strazel,ASM,G,8.1,20.24,341.0,50.0,98.0,21.0,1.0,43.0
Donatas Motiejunas,ASM,C,6.7,14.72,186.0,91.0,27.0,10.0,8.0,26.0
Alpha Diallo,ASM,F,11.6,26.57,403.0,140.0,61.0,36.0,11.0,42.0
Jaron Blossomgame,ASM,F,9.2,24.08,309.0,165.0,21.0,18.0,7.0,18.0
Jordan Loyd,ASM,G,8.5,21.2,329.0,101.0,60.0,21.0,4.0,38.0
Elie Okobo,ASM,G,12.4,25.17,437.0,65.0,144.0,37.0,6.0,63.0
Juhann Begarin,ASM,G,4.0,4.3,6.0,12.0,2.0,1.0,0.0,4.0
Terry Tarpey,ASM,G,4.0,11.57,51.0,52.0,10.0,22.0,7.0,1.0
Vitto Brown,ASM,F,4.2,13.7,102.0,58.0,15.0,10.0,5.0,12.0
Daniel Theis,ASM,C,11.5,22.8,176.0,82.0,11.0,4.0,11.0,26.0
Pavel Savkov,BKN,F,0.0,4.33,11.0,3.0,0.0,0.0,0.0,2.0
Chima Moneke,BKN,F,0.0,28.21,462.0,200.0,76.0,29.0,9.0,61.0
Timothe Luwawu-cabarrot,BKN,F,0.0,24.92,259.0,82.0,53.0,20.0,4.0,52.0
Joseba Querejeta,BKN,G,0.0,2.5,2.0,0.0,2.0,0.0,0.0,2.0
Ousmane Ndiaye,BKN,C,0.0,9.58,31.0,31.0,5.0,2.0,4.0,3.0
Sander Raieste,BKN,F,0.0,9.57,37.0,11.0,9.0,3.0,1.0,6.0
Tadas Sedekerskis,BKN,F,0.0,24.4,184.0,119.0,42.0,8.0,5.0,23.0
Markus Howard,BKN,G,0.0,22.34,387.0,42.0,48.0,11.0,0.0,46.0
Ognjen Jaramaz,BKN,G,0.0,10.09,43.0,12.0,36.0,10.0,1.0,13.0
Donta Hall,BKN,C,0.0,21.5,297.0,182.0,30.0,18.0,38.0,25.0
Khalifa Diop,BKN,C,0.0,14.47,131.0,116.0,15.0,11.0,16.0,23.0
Kamar Baldwin,BKN,G,0.0,21.4,178.0,42.0,93.0,22.0,5.0,23.0
Nikolaos Rogkavopoulos,BKN,F,0.0,18.73,320.0,129.0,32.0,16.0,2.0,18.0
Trent Forrest,BKN,G,0.0,24.79,329.0,95.0,160.0,28.0,8.0,66.0
Luka Samanic,BKN,C,0.0,15.2,136.0,48.0,16.0,7.0,7.0,18.0
Milos Teodosic,CZV,G,0.0,12.32,90.0,18.0,52.0,5.0,1.0,22.0
Nikola Kalinic,CZV,F,0.0,27.2,316.0,146.0,91.0,29.0,6.0,59.0
Joel Bolomboy,CZV,C,0.0,24.28,183.0,151.0,11.0,17.0,15.0,25.0
Isaiah Canaan,CZV,G,0.0,21.03,349.0,52.0,46.0,21.0,1.0,32.0
Filip Petrusev,CZV,F,0.0,20.16,415.0,147.0,50.0,23.0,16.0,40.0
Nemanja Nedovic,CZV,G,0.0,18.59,248.0,39.0,77.0,13.0,2.0,36.0
Ognjen Dobric,CZV,G,0.0,11.07,94.0,29.0,12.0,13.0,2.0,17.0
Branko Lazic,CZV,G,0.0,5.4,11.0,8.0,1.0,3.0,0.0,2.0
Luka Mitrovic,CZV,F,0.0,12.56,141.0,73.0,24.0,6.0,6.0,24.0
Rokas Giedraitis,CZV,F,0.0,15.79,162.0,69.0,26.0,24.0,5.0,9.0
John Brown Iii,CZV,F,0.0,14.82,68.0,45.0,15.0,12.0,0.0,7.0
Yago Dos Santos,CZV,G,0.0,16.26,220.0,55.0,114.0,17.0,0.0,42.0
Dejan Davidovac,CZV,F,0.0,12.54,107.0,49.0,15.0,10.0,5.0,9.0
Codi Miller-mcintyre,CZV,G,0.0,25.37,359.0,110.0,160.0,22.0,0.0,74.0
Mike Daum,CZV,F,0.0,15.05,112.0,52.0,5.0,3.0,2.0,13.0
Fabien Causeur,EA7,G,0.0,21.0,182.0,61.0,37.0,23.0,3.0,19.0
Josh Nebo,EA7,C,0.0,19.25,33.0,18.0,3.0,1.0,4.0,4.0
Nikola Mirotic,EA7,F,0.0,27.5,531.0,192.0,59.0,30.0,10.0,56.0
Niccolo Mannion,EA7,G,0.0,22.04,230.0,39.0,107.0,20.0,1.0,61.0
Zach Leday,EA7,F,0.0,27.65,545.0,152.0,40.0,25.0,4.0,44.0
Shavon Shields,EA7,F,0.0,27.57,335.0,100.0,73.0,19.0,1.0,43.0
Giampaolo Ricci,EA7,F,0.0,15.12,114.0,79.0,14.0,12.0,7.0,12.0
Stefano Tonut,EA7,G,0.0,15.41,87.0,52.0,31.0,9.0,2.0,8.0
Freddie Gillespie,EA7,C,0.0,12.2,58.0,45.0,10.0,10.0,13.0,15.0
Diego Flaccadori,EA7,G,0.0,8.69,23.0,7.0,14.0,4.0,0.0,6.0
Giordano Bortolani,EA7,G,0.0,7.75,17.0,3.0,3.0,0.0,1.0,1.0
Leandro Bolmaro,EA7,G,0.0,22.4,173.0,59.0,77.0,27.0,5.0,29.0
Guglielmo Caruso,EA7,F,0.0,7.77,58.0,32.0,6.0,4.0,12.0,9.0
Ousmane Diop,EA7,F,0.0,8.89,65.0,35.0,9.0,6.0,2.0,13.0
Armoni Brooks,EA7,G,0.0,15.0,244.0,65.0,25.0,16.0,3.0,17.0
Neno Dimitrijevic,EA7,G,0.0,16.85,204.0,42.0,77.0,11.0,0.0,41.0
Achille Lonati,EA7,G,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
Jan Vesely,BAR,C,0.0,21.17,216.0,87.0,46.0,26.0,11.0,22.0
Kevin Punter,BAR,G,0.0,27.08,615.0,81.0,111.0,47.0,1.0,60.0
Alex Abrines,BAR,F,0.0,17.0,166.0,77.0,26.0,20.0,4.0,12.0
Nicolas Laprovittola,BAR,G,0.0,22.0,40.0,4.0,25.0,4.0,0.0,8.0
Tomas Satoransky,BAR,G,0.0,23.72,232.0,126.0,204.0,37.0,4.0,70.0
Youssoupha Fall,BAR,C,0.0,10.45,128.0,97.0,1.0,2.0,7.0,25.0
Juan Nunez,BAR,G,0.0,15.56,124.0,63.0,84.0,20.0,0.0,33.0
Joel Parra,BAR,F,0.0,14.97,152.0,88.0,19.0,18.0,3.0,11.0
Jabari Parker,BAR,F,0.0,27.21,539.0,156.0,68.0,32.0,9.0,60.0
Willy Hernangomez,BAR,C,0.0,15.82,280.0,141.0,18.0,19.0,4.0,38.0
Dario Brizuela,BAR,G,0.0,18.33,361.0,50.0,79.0,14.0,3.0,47.0
Justin Lamar Anderson,BAR,F,0.0,19.57,264.0,102.0,51.0,25.0,10.0,20.0
Chimezie Metu,BAR,F,0.0,20.04,263.0,115.0,23.0,15.0,14.0,40.0
Raul Villar,BAR,G,0.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0
Mathieu Grujicic,BAR,G,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0
Shabazz Napier,BAY,G,0.0,20.61,341.0,75.0,106.0,37.0,0.0,62.0
Niels Giffey,BAY,F,0.0,18.2,161.0,46.0,23.0,5.0,5.0,19.0
