name,team_code,team_name,pos,credits,min_proj,pts,reb,ast,stl,blk,tov,pdk,gp,min_total
Matt Thomas,BER,ALBA Berlin,G,0.0,24.1,258.0,43.0,32.0,9.0,1.0,38.0,205.9,21.0,506.0
Martin Hermannsson,BER,ALBA Berlin,G,0.0,21.79,229.0,38.0,137.0,14.0,0.0,54.0,263.2,24.0,523.0
Elias Rapieque,BER,ALBA Berlin,F,0.0,15.04,113.0,58.0,34.0,17.0,0.0,28.0,71.9,27.0,406.0
Louis Olinde,BER,ALBA Berlin,F,0.0,19.04,129.0,65.0,26.0,7.0,11.0,19.0,119.5,23.0,438.0
Tim Schneider,BER,ALBA Berlin,F,0.0,19.62,179.0,105.0,14.0,13.0,8.0,28.0,147.4,32.0,628.0
Jonas Mattisseck,BER,ALBA Berlin,G,0.0,13.34,71.0,22.0,16.0,15.0,0.0,10.0,15.8,29.0,387.0
Malte Delow,BER,ALBA Berlin,G,0.0,18.22,132.0,61.0,37.0,19.0,4.0,16.0,138.2,23.0,419.0
Yanni Wetzell,BER,ALBA Berlin,F,0.0,20.86,314.0,124.0,45.0,21.0,6.0,43.0,324.4,28.0,584.0
Gabriele Procida,BER,ALBA Berlin,F,0.0,20.5,253.0,58.0,21.0,19.0,9.0,31.0,207.3,26.0,533.0
Matteo Spagnolo,BER,ALBA Berlin,G,0.0,20.74,259.0,54.0,101.0,13.0,1.0,58.0,244.2,27.0,560.0
Justin Bean,BER,ALBA Berlin,F,0.0,19.77,76.0,62.0,13.0,9.0,5.0,9.0,126.0,13.0,257.0
Amon Doerries,BER,ALBA Berlin,F,0.0,6.8,6.0,2.0,0.0,1.0,0.0,3.0,5.1,5.0,34.0
Anton Nufer,BER,ALBA Berlin,G,0.0,4.4,4.0,2.0,0.0,0.0,0.0,3.0,0.2,5.0,22.0
Dorian Grosber,BER,ALBA Berlin,F,0.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,-0.7,2.0,6.0
Will Mcdowell-white,BER,ALBA Berlin,G,0.0,19.05,126.0,38.0,83.0,14.0,2.0,28.0,156.6,22.0,419.0
David Mccormack,BER,ALBA Berlin,C,0.0,16.32,236.0,130.0,16.0,23.0,3.0,47.0,272.2,28.0,457.0
Robert Baker Ii,BER,ALBA Berlin,F,0.0,14.14,43.0,19.0,2.0,3.0,2.0,1.0,40.5,7.0,99.0
Shane Larkin,EFS,Anadolu Efes Istanbul,G,0.0,26.21,328.0,72.0,127.0,33.0,1.0,49.0,463.5,28.0,734.0
Vincent Poirier,EFS,Anadolu Efes Istanbul,C,0.0,21.36,370.0,194.0,47.0,22.0,50.0,37.0,550.8,39.0,833.0
Darius Thompson,EFS,Anadolu Efes Istanbul,G,0.0,26.33,370.0,77.0,175.0,36.0,17.0,47.0,486.1,39.0,1027.0
Rolands Smits,EFS,Anadolu Efes Istanbul,F,0.0,18.15,267.0,96.0,36.0,11.0,3.0,37.0,278.8,39.0,708.0
Elijah Bryant,EFS,Anadolu Efes Istanbul,G,0.0,27.03,526.0,161.0,119.0,44.0,9.0,85.0,582.3,38.0,1027.0
Rodrigue Beaubois,EFS,Anadolu Efes Istanbul,G,0.0,18.88,293.0,47.0,53.0,24.0,10.0,17.0,286.8,33.0,623.0
Erkan Yilmaz,EFS,Anadolu Efes Istanbul,F,0.0,4.31,21.0,13.0,9.0,8.0,1.0,2.0,40.6,13.0,56.0
Ridvan Oncel,EFS,Anadolu Efes Istanbul,G,0.0,7.0,4.0,0.0,1.0,1.0,0.0,3.0,3.2,2.0,14.0
Derek Willis,EFS,Anadolu Efes Istanbul,F,0.0,11.52,85.0,65.0,10.0,10.0,7.0,13.0,123.9,27.0,311.0
Pj Dozier,EFS,Anadolu Efes Istanbul,G,0.0,18.44,150.0,40.0,52.0,12.0,5.0,29.0,171.4,18.0,332.0
Ercan Osmani,EFS,Anadolu Efes Istanbul,F,0.0,16.59,253.0,113.0,39.0,18.0,7.0,39.0,287.5,39.0,647.0
Dan Oturu,EFS,Anadolu Efes Istanbul,C,0.0,16.58,333.0,158.0,20.0,18.0,39.0,41.0,447.8,38.0,630.0
Dogus Ozdemiroglu,EFS,Anadolu Efes Istanbul,G,0.0,5.8,19.0,5.0,5.0,4.0,0.0,3.0,10.7,10.0,58.0
Stanley Johnson,EFS,Anadolu Efes Istanbul,F,0.0,7.82,33.0,19.0,5.0,6.0,1.0,6.0,22.1,17.0,133.0
Jordan Nwora,EFS,Anadolu Efes Istanbul,F,0.0,16.81,281.0,122.0,29.0,19.0,6.0,48.0,269.9,37.0,622.0
Petr Cornelie,ASM,AS Monaco,F,4.0,9.88,49.0,35.0,11.0,6.0,1.0,6.0,70.2,17.0,168.0
Georgios Papagiannis,ASM,AS Monaco,C,8.5,16.52,211.0,99.0,15.0,14.0,39.0,18.0,273.8,29.0,479.0
Mam Jaiteh,ASM,AS Monaco,C,8.2,14.65,234.0,123.0,18.0,14.0,8.0,34.0,297.8,31.0,454.0
Nick Calathes,ASM,AS Monaco,G,6.3,17.54,48.0,29.0,50.0,11.0,1.0,19.0,62.7,13.0,228.0
Mike James,ASM,AS Monaco,G,17.4,29.34,653.0,121.0,236.0,45.0,2.0,77.0,759.3,41.0,1203.0
Matthew Strazel,ASM,AS Monaco,G,8.1,20.24,341.0,50.0,98.0,21.0,1.0,43.0,352.5,41.0,830.0
