id,gp,first_name,last_name,team_id,team_code,team_name,position,position_id,cr,pdk,min,starter,pts,ast,reb,stl,blk,blka,fgm,fgm_tot,fga,fga_tot,tpm,tpm_tot,tpa,tpa_tot,ftm,ftm_tot,fta,fta_tot,oreb,dreb,tov,pf,fouls_received,plus_minus,fgp,tpp,ftp,slug
1185,21,Matt,Thomas,31,BER,ALBA Berlin,G,1,0.0,205.90,506,14,258,32,43,9,1,10,88,88.00,187,187.00,55,55.00,119,119.00,27,27.00,33,33.00,7,36,38,25,38,-116,47.1,46.2,81.8,matt-thomas
1219,24,Martin,Hermannsson,31,BER,ALBA Berlin,G,1,0.0,263.20,523,18,229,137,38,14,0,14,82,82.00,191,191.00,18,18.00,62,62.00,47,47.00,58,58.00,10,28,54,30,57,-110,42.9,29.0,81.0,martin-hermannsson
1241,27,Elias,Rapieque,31,BER,ALBA Berlin,F,2,0.0,71.90,406,4,113,34,58,17,0,9,46,46.00,110,110.00,6,6.00,36,36.00,15,15.00,27,27.00,28,30,28,66,28,-132,41.8,16.7,55.6,elias-rapieque
1467,23,Louis,Olinde,31,BER,ALBA Berlin,F,2,0.0,119.50,438,9,129,26,65,7,11,3,50,50.00,114,114.00,11,11.00,56,56.00,18,18.00,24,24.00,22,43,19,66,38,-119,43.9,19.6,75.0,louis-olinde
1468,32,Tim,Schneider,31,BER,ALBA Berlin,F,2,0.0,147.40,628,16,179,14,105,13,8,5,67,67.00,162,162.00,26,26.00,89,89.00,19,19.00,33,33.00,34,71,28,75,41,-226,41.4,29.2,57.6,tim-schneider
1470,29,Jonas,Mattisseck,31,BER,ALBA Berlin,G,1,0.0,15.80,387,5,71,16,22,15,0,6,24,24.00,93,93.00,17,17.00,74,74.00,6,6.00,7,7.00,3,19,10,52,28,-161,25.8,23.0,85.7,jonas-mattisseck
1471,23,Malte,Delow,31,BER,ALBA Berlin,G,1,0.0,138.20,419,12,132,37,61,19,4,7,53,53.00,117,117.00,9,9.00,46,46.00,17,17.00,22,22.00,23,38,16,59,34,-152,45.3,19.6,77.3,malte-delow
1472,28,Yanni,Wetzell,31,BER,ALBA Berlin,F,2,0.0,324.40,584,14,314,45,124,21,6,28,128,128.00,233,233.00,10,10.00,28,28.00,48,48.00,73,73.00,45,79,43,73,84,-159,54.9,35.7,65.8,yanni-wetzell
1475,26,Gabriele,Procida,31,BER,ALBA Berlin,F,2,0.0,207.30,533,17,253,21,58,19,9,3,94,94.00,214,214.00,21,21.00,96,96.00,44,44.00,56,56.00,15,43,31,46,53,-196,43.9,21.9,78.6,gabriele-procida
1740,27,Matteo,Spagnolo,31,BER,ALBA Berlin,G,1,0.0,244.20,560,14,259,101,54,13,1,12,98,98.00,238,238.00,12,12.00,46,46.00,51,51.00,64,64.00,14,40,58,40,73,-162,41.2,26.1,79.7,matteo-spagnolo
2084,13,Justin,Bean,31,BER,ALBA Berlin,F,2,0.0,126.00,257,6,76,13,62,9,5,3,29,29.00,60,60.00,9,9.00,20,20.00,9,9.00,12,12.00,27,35,9,17,24,-46,48.3,45.0,75.0,justin-bean
2085,5,Amon,Doerries,31,BER,ALBA Berlin,F,2,0.0,5.10,34,0,6,0,2,1,0,0,2,2.00,2,2.00,0,0,0,0,2,2.00,2,2.00,1,1,3,3,2,-9,100.0,0.0,100.0,amon-doerries
2087,5,Anton,Nufer,31,BER,ALBA Berlin,G,1,0.0,0.20,22,1,4,0,2,0,0,0,1,1.00,1,1.00,1,1.00,1,1.00,1,1.00,2,2.00,0,2,3,2,0,-34,100.0,100.0,50.0,anton-nufer
2088,2,Dorian,Grosber,31,BER,ALBA Berlin,F,2,0.0,-0.70,6,1,2,0,0,1,0,0,1,1.00,2,2.00,0,0,0,0,0,0,0,0,0,0,1,2,0,-6,50.0,0.0,0.0,dorian-grosber
2497,22,Will,Mcdowell-white,31,BER,ALBA Berlin,G,1,0.0,156.60,419,8,126,83,38,14,2,6,49,49.00,111,111.00,23,23.00,64,64.00,5,5.00,5,5.00,6,32,28,29,16,-133,44.1,35.9,100.0,will-mcdowell-white
2533,28,David,Mccormack,31,BER,ALBA Berlin,C,3,0.0,272.20,457,20,236,16,130,23,3,7,93,93.00,156,156.00,0,0,2,2.00,50,50.00,69,69.00,45,85,47,74,70,-114,59.6,0.0,72.5,david-mccormack
2638,7,Robert,Baker Ii,31,BER,ALBA Berlin,F,2,0.0,40.50,99,3,43,2,19,3,2,1,16,16.00,34,34.00,10,10.00,21,21.00,1,1.00,2,2.00,8,11,1,12,3,-69,47.1,47.6,50.0,robert-baker-ii
1218,28,Shane,Larkin,32,EFS,Anadolu Efes Istanbul,G,1,0.0,463.50,734,11,328,127,72,33,1,8,109,109.00,253,253.00,57,57.00,145,145.00,53,53.00,61,61.00,10,62,49,26,108,146,43.1,39.3,86.9,shane-larkin
1237,39,Vincent,Poirier,32,EFS,Anadolu Efes Istanbul,C,3,0.0,550.80,833,35,370,47,194,22,50,10,147,147.00,228,228.00,0,0,5,5.00,76,76.00,108,108.00,77,117,37,86,86,75,64.5,0.0,70.4,vincent-poirier
1253,39,Darius,Thompson,32,EFS,Anadolu Efes Istanbul,G,1,0.0,486.10,1027,36,370,175,77,36,17,8,134,134.00,269,269.00,60,60.00,136,136.00,42,42.00,53,53.00,22,55,47,75,59,125,49.8,44.1,79.2,darius-thompson
1279,39,Rolands,Smits,32,EFS,Anadolu Efes Istanbul,F,2,0.0,278.80,708,4,267,36,96,11,3,6,95,95.00,176,176.00,32,32.00,83,83.00,45,45.00,55,55.00,25,71,37,87,68,31,54.0,38.6,81.8,rolands-smits
1389,38,Elijah,Bryant,32,EFS,Anadolu Efes Istanbul,G,1,0.0,582.30,1027,31,526,119,161,44,9,18,185,185.00,417,417.00,57,57.00,156,156.00,99,99.00,110,110.00,24,137,85,104,140,81,44.4,36.5,90.0,elijah-bryant
1391,33,Rodrigue,Beaubois,32,EFS,Anadolu Efes Istanbul,G,1,0.0,286.80,623,11,293,53,47,24,10,3,109,109.00,214,214.00,56,56.00,122,122.00,19,19.00,22,22.00,6,41,17,63,32,78,50.9,45.9,86.4,rodrigue-beaubois
1603,13,Erkan,Yilmaz,32,EFS,Anadolu Efes Istanbul,F,2,0.0,40.60,56,1,21,9,13,8,1,0,8,8.00,11,11.00,4,4.00,6,6.00,1,1.00,6,6.00,4,9,2,8,4,22,72.7,66.7,16.7,erkan-yilmaz
1611,2,Ridvan,Oncel,32,EFS,Anadolu Efes Istanbul,G,1,0.0,3.20,14,0,4,1,0,1,0,0,2,2.00,2,2.00,0,0,0,0,0,0,0,0,0,0,3,1,1,-10,100.0,0.0,0.0,ridvan-oncel
1654,27,Derek,Willis,32,EFS,Anadolu Efes Istanbul,F,2,0.0,123.90,311,1,85,10,65,10,7,0,30,30.00,69,69.00,11,11.00,35,35.00,14,14.00,21,21.00,23,42,13,22,22,60,43.5,31.4,66.7,derek-willis
2060,18,Pj,Dozier,32,EFS,Anadolu Efes Istanbul,G,1,0.0,171.40,332,4,150,52,40,12,5,4,55,55.00,106,106.00,19,19.00,37,37.00,21,21.00,24,24.00,9,31,29,46,33,64,51.9,51.4,87.5,pj-dozier
2100,39,Ercan,Osmani,32,EFS,Anadolu Efes Istanbul,F,2,0.0,287.50,647,35,253,39,113,18,7,7,93,93.00,189,189.00,29,29.00,74,74.00,38,38.00,41,41.00,34,79,39,68,51,50,49.2,39.2,92.7,ercan-osmani
2214,38,Dan,Oturu,32,EFS,Anadolu Efes Istanbul,C,3,0.0,447.80,630,4,333,20,158,18,39,12,136,136.00,191,191.00,0,0,1,1.00,61,61.00,89,89.00,75,83,41,93,83,89,71.2,0.0,68.5,dan-oturu
2494,10,Dogus,Ozdemiroglu,32,EFS,Anadolu Efes Istanbul,G,1,0.0,10.70,58,0,19,5,5,4,0,0,6,6.00,21,21.00,3,3.00,14,14.00,4,4.00,7,7.00,2,3,3,13,10,-7,28.6,21.4,57.1,dogus-ozdemiroglu
2495,17,Stanley,Johnson,32,EFS,Anadolu Efes Istanbul,F,2,0.0,22.10,133,5,33,5,19,6,1,1,11,11.00,35,35.00,2,2.00,15,15.00,9,9.00,13,13.00,6,13,6,17,9,-13,31.4,13.3,69.2,stanley-johnson
2496,37,Jordan,Nwora,32,EFS,Anadolu Efes Istanbul,F,2,0.0,269.90,622,15,281,29,122,19,6,5,104,104.00,243,243.00,41,41.00,119,119.00,32,32.00,37,37.00,22,100,48,44,37,-16,42.8,34.5,86.5,jordan-nwora
1236,17,Petr,Cornelie,33,ASM,AS Monaco,F,2,4.0,70.20,168,5,49,11,35,6,1,0,14,14.00,26,26.00,3,3.00,12,12.00,18,18.00,23,23.00,16,19,6,30,16,30,53.8,25.0,78.3,petr-cornelie
